subsector,country_code,unit,carrier,year,0
Chemicals Industry,AL,twh,electricity,2000,0.20452788758782275
Chemicals Industry,AL,twh,electricity,2001,0.2160872984030757
Chemicals Industry,AL,twh,electricity,2002,0.13535713401748983
Chemicals Industry,AL,twh,electricity,2003,0.19180236346206347
Chemicals Industry,AL,twh,electricity,2004,0.2667775722211831
Chemicals Industry,AL,twh,electricity,2005,0.2822989617600903
Chemicals Industry,AL,twh,electricity,2006,0.42619697890326835
Chemicals Industry,AL,twh,electricity,2007,0.418992280663101
Chemicals Industry,AL,twh,electricity,2008,0.3206980427137553
Chemicals Industry,AL,twh,electricity,2009,0.493618667015622
Chemicals Industry,AL,twh,electricity,2010,0.352031690227133
Chemicals Industry,AL,twh,electricity,2011,0.17149843246732496
Chemicals Industry,AL,twh,electricity,2012,0.15360751763361818
Chemicals Industry,AL,twh,electricity,2013,0.10322294524084424
Chemicals Industry,AL,twh,electricity,2014,0.08169143424557584
Chemicals Industry,AL,twh,electricity,2015,0.11839401935932246
Chemicals Industry,AL,twh,electricity,2016,0.2000166117320524
Chemicals Industry,AL,twh,electricity,2017,0.0817461625720427
Chemicals Industry,AL,twh,electricity,2018,0.054488061324746775
Chemicals Industry,AL,twh,hydrogen,2000,0.04908093352464284
Chemicals Industry,AL,twh,hydrogen,2001,0.05331089535685527
Chemicals Industry,AL,twh,hydrogen,2002,0.03470085059933108
Chemicals Industry,AL,twh,hydrogen,2003,0.05082226045225696
Chemicals Industry,AL,twh,hydrogen,2004,0.07111477333348497
Chemicals Industry,AL,twh,hydrogen,2005,0.07569415437821977
Chemicals Industry,AL,twh,hydrogen,2006,0.11726817671869613
Chemicals Industry,AL,twh,hydrogen,2007,0.11881065040280246
Chemicals Industry,AL,twh,hydrogen,2008,0.09570891353296293
Chemicals Industry,AL,twh,hydrogen,2009,0.14546447170492346
Chemicals Industry,AL,twh,hydrogen,2010,0.10840028562471758
Chemicals Industry,AL,twh,hydrogen,2011,0.054091798546618004
Chemicals Industry,AL,twh,hydrogen,2012,0.04911843254446167
Chemicals Industry,AL,twh,hydrogen,2013,0.03443066734850446
Chemicals Industry,AL,twh,hydrogen,2014,0.027096179714474068
Chemicals Industry,AL,twh,hydrogen,2015,0.040491318922910344
Chemicals Industry,AL,twh,hydrogen,2016,0.058258684030196295
Chemicals Industry,AL,twh,hydrogen,2017,0.02381014164136309
Chemicals Industry,AL,twh,hydrogen,2018,0.015870695541972766
Chemicals Industry,AL,twh,methanol,2000,0.42917765771738586
Chemicals Industry,AL,twh,methanol,2001,0.4661656483893929
Chemicals Industry,AL,twh,methanol,2002,0.3034341181294848
Chemicals Industry,AL,twh,methanol,2003,0.44440431618626797
Chemicals Industry,AL,twh,methanol,2004,0.6218478267746028
Chemicals Industry,AL,twh,methanol,2005,0.6618912385322029
Chemicals Industry,AL,twh,methanol,2006,1.0254263273873774
Chemicals Industry,AL,twh,methanol,2007,1.0389141564748798
Chemicals Industry,AL,twh,methanol,2008,0.8369059914504096
Chemicals Industry,AL,twh,methanol,2009,1.2719827591720667
Chemicals Industry,AL,twh,methanol,2010,0.9478829626774191
Chemicals Industry,AL,twh,methanol,2011,0.4729940882298479
Chemicals Industry,AL,twh,methanol,2012,0.4295055598239029
Chemicals Industry,AL,twh,methanol,2013,0.3010715588540786
Chemicals Industry,AL,twh,methanol,2014,0.23693671060898905
Chemicals Industry,AL,twh,methanol,2015,0.35406762189022134
Chemicals Industry,AL,twh,methanol,2016,0.5094305213494587
Chemicals Industry,AL,twh,methanol,2017,0.2082026580531257
Chemicals Industry,AL,twh,methanol,2018,0.13877788073508726
Chemicals Industry,AL,twh,space_heat,2000,0.005505754666966257
Chemicals Industry,AL,twh,space_heat,2001,0.00580566053642738
Chemicals Industry,AL,twh,space_heat,2002,0.003695099241249508
Chemicals Industry,AL,twh,space_heat,2003,0.005264347417460771
Chemicals Industry,AL,twh,space_heat,2004,0.007198925262603211
Chemicals Industry,AL,twh,space_heat,2005,0.007635076066787143
Chemicals Industry,AL,twh,space_heat,2006,0.01152364407048174
Chemicals Industry,AL,twh,space_heat,2007,0.011359598672619044
Chemicals Industry,AL,twh,space_heat,2008,0.008866425733773378
Chemicals Industry,AL,twh,space_heat,2009,0.014043656861379879
Chemicals Industry,AL,twh,space_heat,2010,0.010129878081672723
Chemicals Industry,AL,twh,space_heat,2011,0.00501314111927101
Chemicals Industry,AL,twh,space_heat,2012,0.004447432822972003
Chemicals Industry,AL,twh,space_heat,2013,0.002994014652710258
Chemicals Industry,AL,twh,space_heat,2014,0.0023417431640547085
Chemicals Industry,AL,twh,space_heat,2015,0.003442517717569632
Chemicals Industry,AL,twh,space_heat,2016,0.005586668831223533
Chemicals Industry,AL,twh,space_heat,2017,0.0022832540485445037
Chemicals Industry,AL,twh,space_heat,2018,0.0015219073617972825
Chemicals Industry,AL,t,co2,2000,2013.6090441730453
Chemicals Industry,AL,t,co2,2001,2187.148722214688
Chemicals Industry,AL,t,co2,2002,1423.6474653080506
Chemicals Industry,AL,t,co2,2003,2085.0492430141157
Chemicals Industry,AL,t,co2,2004,2917.5759398855794
Chemicals Industry,AL,t,co2,2005,3105.450994946682
Chemicals Industry,AL,t,co2,2006,4811.079257811811
Chemicals Industry,AL,t,co2,2007,4874.3612440673505
Chemicals Industry,AL,t,co2,2008,3926.5824844425183
Chemicals Industry,AL,t,co2,2009,5967.868880974375
Chemicals Industry,AL,t,co2,2010,4447.262508062924
Chemicals Industry,AL,t,co2,2011,2219.1862898118957
Chemicals Industry,AL,t,co2,2012,2015.1474901648469
Chemicals Industry,AL,t,co2,2013,1412.5628465288385
Chemicals Industry,AL,t,co2,2014,1111.6559653089896
Chemicals Industry,AL,t,co2,2015,1661.2089489441057
Chemicals Industry,AL,t,co2,2016,2390.1381787272494
Chemicals Industry,AL,t,co2,2017,976.8419854528196
Chemicals Industry,AL,t,co2,2018,651.1158974714253
Chemicals Industry,AT,twh,electricity,2000,6.668316139092325
Chemicals Industry,AT,twh,electricity,2001,6.684166980848663
Chemicals Industry,AT,twh,electricity,2002,6.82473074169718
Chemicals Industry,AT,twh,electricity,2003,7.322623898843442
Chemicals Industry,AT,twh,electricity,2004,7.308901876425101
Chemicals Industry,AT,twh,electricity,2005,7.719167868720972
Chemicals Industry,AT,twh,electricity,2006,7.573203810949589
Chemicals Industry,AT,twh,electricity,2007,7.402930585026548
Chemicals Industry,AT,twh,electricity,2008,7.875611074634359
Chemicals Industry,AT,twh,electricity,2009,8.519041325281716
Chemicals Industry,AT,twh,electricity,2010,8.976414725664746
Chemicals Industry,AT,twh,electricity,2011,8.956982035951258
Chemicals Industry,AT,twh,electricity,2012,8.841788024227084
Chemicals Industry,AT,twh,electricity,2013,8.781553553905658
Chemicals Industry,AT,twh,electricity,2014,8.53708355951233
Chemicals Industry,AT,twh,electricity,2015,8.63948887066965
Chemicals Industry,AT,twh,electricity,2016,8.665246966130729
Chemicals Industry,AT,twh,electricity,2017,8.096713138722807
Chemicals Industry,AT,twh,electricity,2018,8.52742351972234
Chemicals Industry,AT,twh,hydrogen,2000,1.279306466916901
Chemicals Industry,AT,twh,hydrogen,2001,1.2133025842220415
Chemicals Industry,AT,twh,hydrogen,2002,1.3774196700512173
Chemicals Industry,AT,twh,hydrogen,2003,1.4890729382284529
Chemicals Industry,AT,twh,hydrogen,2004,1.5609764020877255
Chemicals Industry,AT,twh,hydrogen,2005,1.6517017362270363
Chemicals Industry,AT,twh,hydrogen,2006,1.6169377523816737
Chemicals Industry,AT,twh,hydrogen,2007,1.6564347370886179
Chemicals Industry,AT,twh,hydrogen,2008,2.012117625263585
Chemicals Industry,AT,twh,hydrogen,2009,1.9256960106381835
Chemicals Industry,AT,twh,hydrogen,2010,2.395753005126392
Chemicals Industry,AT,twh,hydrogen,2011,2.5800554062617045
Chemicals Industry,AT,twh,hydrogen,2012,2.251739243498104
Chemicals Industry,AT,twh,hydrogen,2013,2.386473509557713
Chemicals Industry,AT,twh,hydrogen,2014,2.3011919563639647
Chemicals Industry,AT,twh,hydrogen,2015,2.6276834267497207
Chemicals Industry,AT,twh,hydrogen,2016,2.065742166430114
Chemicals Industry,AT,twh,hydrogen,2017,1.9302071603409723
Chemicals Industry,AT,twh,hydrogen,2018,2.0328858951799873
Chemicals Industry,AT,twh,methanol,2000,11.18662000791876
Chemicals Industry,AT,twh,methanol,2001,10.609463264129234
Chemicals Industry,AT,twh,methanol,2002,12.044549792224801
Chemicals Industry,AT,twh,methanol,2003,13.020877760574011
Chemicals Industry,AT,twh,methanol,2004,13.64962212187258
Chemicals Industry,AT,twh,methanol,2005,14.442950276113711
Chemicals Industry,AT,twh,methanol,2006,14.138964102904794
Chemicals Industry,AT,twh,methanol,2007,14.484336983290504
Chemicals Industry,AT,twh,methanol,2008,17.594529432267525
Chemicals Industry,AT,twh,methanol,2009,16.83883422686843
Chemicals Industry,AT,twh,methanol,2010,20.949146427569218
Chemicals Industry,AT,twh,methanol,2011,22.560739100133787
Chemicals Industry,AT,twh,methanol,2012,19.68984909037276
Chemicals Industry,AT,twh,methanol,2013,20.868003876134964
Chemicals Industry,AT,twh,methanol,2014,20.122277692507733
Chemicals Industry,AT,twh,methanol,2015,22.97721207256614
Chemicals Industry,AT,twh,methanol,2016,18.06343768892212
Chemicals Industry,AT,twh,methanol,2017,16.878281004344313
Chemicals Industry,AT,twh,methanol,2018,17.776133097835313
Chemicals Industry,AT,twh,space_heat,2000,0.1665455233855287
Chemicals Industry,AT,twh,space_heat,2001,0.15837809607714873
Chemicals Industry,AT,twh,space_heat,2002,0.16790755938123592
Chemicals Industry,AT,twh,space_heat,2003,0.18439875272621659
Chemicals Industry,AT,twh,space_heat,2004,0.18647412922255002
Chemicals Industry,AT,twh,space_heat,2005,0.19953532698532678
Chemicals Industry,AT,twh,space_heat,2006,0.1962144104206889
Chemicals Industry,AT,twh,space_heat,2007,0.1919646455132004
Chemicals Industry,AT,twh,space_heat,2008,0.21173571125240548
Chemicals Industry,AT,twh,space_heat,2009,0.22844270399741423
Chemicals Industry,AT,twh,space_heat,2010,0.24831486083046628
Chemicals Industry,AT,twh,space_heat,2011,0.25281785462460804
Chemicals Industry,AT,twh,space_heat,2012,0.24111127104329388
Chemicals Industry,AT,twh,space_heat,2013,0.24313316313196873
Chemicals Industry,AT,twh,space_heat,2014,0.2346721016968667
Chemicals Industry,AT,twh,space_heat,2015,0.24515949717992916
Chemicals Industry,AT,twh,space_heat,2016,0.22931937701742292
Chemicals Industry,AT,twh,space_heat,2017,0.21427354813059407
Chemicals Industry,AT,twh,space_heat,2018,0.22567198104679448
Chemicals Industry,AT,t,co2,2000,52485.209368716525
Chemicals Industry,AT,t,co2,2001,49777.31435530616
Chemicals Industry,AT,t,co2,2002,56510.43095674629
Chemicals Industry,AT,t,co2,2003,61091.15129900056
Chemicals Industry,AT,t,co2,2004,64041.084292057945
Chemicals Industry,AT,t,co2,2005,67763.20895920217
Chemicals Industry,AT,t,co2,2006,66336.97137047818
Chemicals Industry,AT,t,co2,2007,67957.38646677083
Chemicals Industry,AT,t,co2,2008,82549.73891514279
Chemicals Industry,AT,t,co2,2009,79004.17993072832
Chemicals Industry,AT,t,co2,2010,98288.87863970923
Chemicals Industry,AT,t,co2,2011,105850.12401827447
Chemicals Industry,AT,t,co2,2012,92380.52702381132
Chemicals Industry,AT,t,co2,2013,97908.1752817938
Chemicals Industry,AT,t,co2,2014,94409.3887983249
Chemicals Industry,AT,t,co2,2015,107804.1254180762
Chemicals Industry,AT,t,co2,2016,84749.75536406257
Chemicals Industry,AT,t,co2,2017,79189.25570636721
Chemicals Industry,AT,t,co2,2018,83401.7841622956
Chemicals Industry,BA,twh,electricity,2000,0.21039919981228264
Chemicals Industry,BA,twh,electricity,2001,0.21439670729356142
Chemicals Industry,BA,twh,electricity,2002,0.21379008554922987
Chemicals Industry,BA,twh,electricity,2003,0.22121960982082867
Chemicals Industry,BA,twh,electricity,2004,0.2149387350107654
Chemicals Industry,BA,twh,electricity,2005,0.21551433093003375
Chemicals Industry,BA,twh,electricity,2006,0.212756649443276
Chemicals Industry,BA,twh,electricity,2007,0.22138428781226527
Chemicals Industry,BA,twh,electricity,2008,0.22211903670482555
Chemicals Industry,BA,twh,electricity,2009,0.2186129024552008
Chemicals Industry,BA,twh,electricity,2010,0.22176455455334207
Chemicals Industry,BA,twh,electricity,2011,0.22077084709849515
Chemicals Industry,BA,twh,electricity,2012,0.22711578581217076
Chemicals Industry,BA,twh,electricity,2013,0.2337792660439895
Chemicals Industry,BA,twh,electricity,2014,0.23206543082294417
Chemicals Industry,BA,twh,electricity,2015,0.24162013368690274
Chemicals Industry,BA,twh,electricity,2016,0.2500044473783547
Chemicals Industry,BA,twh,electricity,2017,0.21797290839572647
Chemicals Industry,BA,twh,electricity,2018,0.3164435846772448
Chemicals Industry,BA,twh,hydrogen,2000,0.05048988312261588
Chemicals Industry,BA,twh,hydrogen,2001,0.05289380964012598
Chemicals Industry,BA,twh,hydrogen,2002,0.05480832519181036
Chemicals Industry,BA,twh,hydrogen,2003,0.0586170077600975
Chemicals Industry,BA,twh,hydrogen,2004,0.057296118611513715
Chemicals Industry,BA,twh,hydrogen,2005,0.05778687578029548
Chemicals Industry,BA,twh,hydrogen,2006,0.058540031018508104
Chemicals Industry,BA,twh,hydrogen,2007,0.06277636232894167
Chemicals Industry,BA,twh,hydrogen,2008,0.06628905963414958
Chemicals Industry,BA,twh,hydrogen,2009,0.06442303034402734
Chemicals Industry,BA,twh,hydrogen,2010,0.06828743468950257
Chemicals Industry,BA,twh,hydrogen,2011,0.06963266086116124
Chemicals Industry,BA,twh,hydrogen,2012,0.07262386357811978
Chemicals Industry,BA,twh,hydrogen,2013,0.07797855528494599
Chemicals Industry,BA,twh,hydrogen,2014,0.0769736347166152
Chemicals Industry,BA,twh,hydrogen,2015,0.0826352373562039
Chemicals Industry,BA,twh,hydrogen,2016,0.07281860231424664
Chemicals Industry,BA,twh,hydrogen,2017,0.06348880069212064
Chemicals Industry,BA,twh,hydrogen,2018,0.09217027852562104
Chemicals Industry,BA,twh,methanol,2000,0.44149791417698064
Chemicals Industry,BA,twh,methanol,2001,0.46251853212410465
Chemicals Industry,BA,twh,methanol,2002,0.4792596012344314
Chemicals Industry,BA,twh,methanol,2003,0.5125638060704255
Chemicals Industry,BA,twh,methanol,2004,0.501013575254036
Chemicals Industry,BA,twh,methanol,2005,0.5053048956727891
Chemicals Industry,BA,twh,methanol,2006,0.5118906995241236
Chemicals Industry,BA,twh,methanol,2007,0.5489343867272988
Chemicals Industry,BA,twh,methanol,2008,0.5796504121460566
Chemicals Industry,BA,twh,methanol,2009,0.563333320712484
Chemicals Industry,BA,twh,methanol,2010,0.5971247726340583
Chemicals Industry,BA,twh,methanol,2011,0.6088878133097764
Chemicals Industry,BA,twh,methanol,2012,0.6350437415619886
Chemicals Industry,BA,twh,methanol,2013,0.681866690505707
Chemicals Industry,BA,twh,methanol,2014,0.6730793789218371
